Horario de apertura – Farmacia Pérez Ortega (C/ Mayor, 21);;;
;;;
Día;Mañana;Tarde;Observaciones
Lunes;9:30 - 14:00;17:00 - 20:30;
Martes;9:30 - 14:00;17:00 - 20:30;
Miércoles;9:30 - 14:00;17:00 - 20:30;
Jueves;9:30 - 14:00;17:00 - 20:30;Análisis clínicos de 9:30 a 11:00
Viernes;9:30 - 14:00;17:00 - 20:30;
Sábado;10:00 - 14:00;Cerrado;
Domingo;Cerrado;Cerrado;Consultar farmacia de guardia
;;;
;;;Julio y agosto: tardes de 18:00 a 21:00
;;;Festivos cerrado (ver calendario de guardias)
