序号,发票号码,开票日期,客户名称,金额(元),税额(元),价税合计(元),状态,开票人,备注
1,00391827,2026-07-03,深圳市华强电子有限公司,"50,000.00","3,000.00","53,000.00",已收款,李娜,
2,00391828,2026-07-08,广州云帆科技有限公司,"18,600.00","1,116.00","19,716.00",已收款,李娜,
3,00391829,2026-07-15,东莞市宏达精密制造有限公司,"126,000.00","7,560.00","133,560.00",部分收款,张敏,已收首款30%
4,00391830,2026-07-15,深圳市前海微众物流有限公司,"8,500.00",510.00,"9,010.00",已作废,李娜,开票信息有误，已重开
5,00391831,2026-07-16,深圳市前海微众物流有限公司,"8,500.00",510.00,"9,010.00",已收款,李娜,替代00391830
6,00391832,2026-07-22,佛山市南海区美嘉家具厂,"32,400.00","1,944.00","34,344.00",已收款,张敏,
7,00391833,2026-07-30,惠州市德赛电池有限公司,"75,000.00","4,500.00","79,500.00",未收款,李娜,账期60天
8,00391834,2026-08-04,深圳市华强电子有限公司,"50,000.00","3,000.00","53,000.00",已收款,李娜,
9,00391835,2026-08-11,珠海格创智能科技有限公司,"22,800.00","1,368.00","24,168.00",已收款,张敏,
10,00391836,2026-08-18,广州云帆科技有限公司,"18,600.00","1,116.00","19,716.00",已收款,李娜,
11,00391837,2026-08-20,中山市大信商贸有限公司,"4,200.00",252.00,"4,452.00",未收款,李娜,
12,00391838,2026-08-27,东莞市宏达精密制造有限公司,"64,000.00","3,840.00","67,840.00",未收款,张敏,
13,00391839,2026-09-02,深圳市华强电子有限公司,"50,000.00","3,000.00","53,000.00",未收款,李娜,
14,00391840,2026-09-09,佛山市南海区美嘉家具厂,"15,750.00",945.00,"16,695.00",部分收款,李娜,余款月底结清
15,00391841,2026-09-15,深圳市南山区人民医院,"98,000.00","5,880.00","103,880.00",未收款,张敏,走政府采购流程
16,00391842,2026-09-18,珠海格创智能科技有限公司,"22,800.00","1,368.00","24,168.00",未收款,李娜,
17,00391843,2026-09-23,广州云帆科技有限公司,"18,600.00","1,116.00","19,716.00",未收款,李娜,
合计,,,,"683,750.00","41,025.00","724,775.00",,,
